Name,playerid,tot
Mike Tauchman,15274,801.8
Ender Inciarte,4922,794.65
Tommy La Stella,12371,792.85
JaCoby Jones,14818,789.85
Howie Kendrick,4229,780.7
Alex Gordon,5209,777.65
Nicky Lopez,19339,774.95
Christin Stewart,17714,771.6
Ji-Man Choi,5452,769.3
Mallex Smith,13608,768.2
Marwin Gonzalez,5497,763.15
Alex Dickerson,12649,760.35
Austin Hays,19363,754.3
Melky Cabrera,4022,743.85
Willi Castro,17338,743.8
Tommy Edman,19470,742.5
Willson Contreras,11609,727.7
Jose Iglesias,10231,720.75
Zack Cozart,2616,717.5
Dee Gordon,8203,715.4
Mitch Garver,15161,714.55
Wilmer Difo,14320,707.4
Wilson Ramos,1433,705.1
Kurt Suzuki,8259,703.85
Luke Voit,14811,702.35
Sam Hilliard,17954,697.95
Wil Myers,10047,694.75
Victor Reyes,15487,691.35
Josh Reddick,3892,687.6
C.J. Cron,12546,685.5
James McCann,12859,683.75
Brandon Drury,11615,681.55
Seth Brown,18171,681.15
Wilmer Flores,5827,681.0
Jake Noll,19703,678.35
Yadier Molina,7007,678.1
Carson Kelly,13620,676.55
Lewis Brinson,14352,672.45
Will Smith,19197,669.3
Travis d'Arnaud,7739,664.4
Bubba Starling,13356,663.95
Derek Fisher,16192,660.0
Ryan O'Hearn,16442,659.35
Brian Goodwin,12858,658.9
Josh VanMeter,15170,657.35
Christian Vazquez,9774,651.25
Jorge Alfaro,12180,643.45
Francisco Mejia,16403,640.1
Odubel Herrera,11476,638.5
Jordan Luplow,16424,634.0
Ryan McBroom,16524,627.05
Zack Collins,19181,627.0
Josh Rojas,19734,625.1
Nathaniel Lowe,19566,621.7
Brett Phillips,14735,620.55
Teoscar Hernandez,13066,618.1
Maikel Franco,12179,614.35
Jake Lamb,13329,613.7
Adam Engel,15082,612.2
Eric Sogard,7927,605.3
Matt Adams,9393,600.5
Leury Garcia,5913,586.65
Franchy Cordero,14567,582.6
Robinson Chirinos,3142,582.45
Tyler Naquin,13359,579.65
Austin Dean,18288,579.05
Eric Thames,3711,578.9
Yolmer Sanchez,11602,578.1
Hanley Ramirez,8001,576.6
Brock Holt,9345,573.55
Hunter Pence,8252,573.5
Mike Zunino,13265,570.65
Mark Trumbo,6876,567.2
Daniel Vogelbach,14130,566.05
Roberto Perez,2900,564.95
Jose Peraza,13593,563.6
Manny Pina,2829,561.85
Jordy Mercer,6547,561.1
Ronald Guzman,14388,556.35
Gerardo Parra,8553,543.3
Garrett Stubbs,18067,541.85
Harrison Bader,18030,541.4
Albert Pujols,1177,540.1
Tyler Flowers,9134,538.95
D.J. Stewart,17766,528.4
Tony Wolters,11470,527.95
Omar Narvaez,13338,523.0
Yan Gomes,9627,518.95
Matt Joyce,3353,517.6
Manuel Margot,14712,515.85
Dawel Lugo,14713,510.95
Rio Ruiz,14103,510.7
Brandon Dixon,15214,510.05
Joe Panik,11936,505.9
Elias Diaz,11680,505.8
Jason Castro,8722,504.6
Austin Nola,15941,501.25
Josh Naylor,18839,499.75
Marco Hernandez,13154,499.25
Neil Walker,7539,498.15
Phillip Ervin,14738,494.6
Chris Taylor,13757,493.5
Tom Murphy,13499,484.0
Jake Bauers,15194,482.3
Stephen Piscotty,13367,480.85
Tucker Barnhart,10200,477.95
Raimel Tapia,14350,475.15
Kyle Tucker,18345,467.45
Kevan Smith,12284,466.15
Chance Sisco,15694,466.05
Sean Murphy,sa549877,465.8
Danny Jansen,16535,465.4
Jed Lowrie,4418,455.9
