Name,playerid,tot
Dereck Rodriguez,14509,282.25
Matt Magill,3950,281.1
Peter Lambert,17969,280.0
Kyle Wright,19665,277.4
Jaime Barria,18356,276.79999999999995
Rowan Wick,14646,276.40000000000003
Will Harris,3192,274.69999999999993
Scott Barlow,14993,273.69999999999993
Chaz Roe,9866,273.5
Luke Jackson,11752,273.4
Joakim Soria,6941,273.0
Jace Fry,16159,271.79999999999995
Dellin Betances,6216,271.3
Trevor May,6398,270.29999999999995
Drew Pomeranz,11426,269.2
Wander Suero,15855,268.0
Brusdar Graterol,20367,267.99999999999994
Brian Johnson,14272,262.5
Richard Rodriguez,13549,261.9
Jeurys Familia,5114,260.20000000000005
Robbie Erlin,10354,259.1500000000001
Anthony Bass,7982,258.5
John Gant,13684,257.7
Darwinzon Hernandez,19848,257.5
Pedro Baez,5420,257.1
Seranthony Dominguez,19249,257.09999999999997
Blake Treinen,12572,256.8
Adrian Sampson,13339,256.6499999999999
Alex Claudio,12890,255.30000000000007
Carlos Estevez,14542,254.89999999999998
Brandon Brennan,13527,254.59999999999997
Kyle Ryan,11753,254.3
Robert Stephenson,13594,253.9
Jose Alvarez,5358,253.50000000000003
Tyler Alexander,17735,252.8
Cam Bedrosian,13360,251.29999999999995
Josh Taylor,17359,251.0
Michael Lorenzen,14843,250.6
Buck Farmer,14814,250.29999999999995
Chris Martin,11847,250.1
Michael Fulmer,13218,249.89999999999995
Aaron Civale,19479,249.49999999999994
Brad Wieck,16390,247.90000000000003
Rafael Montero,12760,247.29999999999998
Brent Honeywell,sa828706,247.0
Hunter Harvey,15507,246.2
Jesse Hahn,13287,245.29999999999998
Matt Andriese,12022,244.09999999999997
Dean Kremer,sa876350,244.09999999999985
Chad Bettis,10587,243.60000000000005
Tayron Guerrero,11691,243.39999999999998
Jarlin Garcia,18282,242.4
Junior Guerra,5702,242.20000000000002
Adam Kolarek,10843,240.10000000000002
Tim Hill,16814,239.39999999999998
Trevor Gott,15046,238.6
Yoan Lopez,17181,236.79999999999995
Yusmeiro Petit,4020,236.19999999999996
Craig Stammen,7274,235.99999999999994
Roenis Elias,12673,235.29999999999995
